headline,image_link,local_image,timestamp
Investors riddled with FOMO might be re-entering the US stock market,"https://media.cnn.com/api/v1/images/stellar/prod/190624171745-20190624-before-the-bell-logo-large-169.png?q=h_83,w_390,x_0,y_0/w_1280",./images/image48.jpg,"Thu September 21, 2023"
Huawei wants to go all in on AI for the next decade,"https://media.cnn.com/api/v1/images/stellar/prod/220722111740-20220722-china-radio-towers-illustration.jpg?c=16x9&q=w_850,c_fill",./images/image49.jpg,"Thu September 21, 2023"
Hear what surprised Neil deGrasse Tyson about the purported ‘alien corpses’ shown in Mexico’s congress,"https://media.cnn.com/api/v1/images/stellar/prod/230922202749-tyson-reuters-split-vpx-screengrab.jpg?c=16x9&q=w_850,c_fill",./images/image50.jpg,"(None,)"
The first pill for postpartum depression gives a psychiatrist hope before she gives birth. But is it enough?,"https://media.cnn.com/api/v1/images/stellar/prod/230805090852-exp-fda-zuranolone-postpartum-kinkade-intv-deligiannidis-080505aseg1-cnni-health-00002001.png?c=16x9&q=w_850,c_fill",./images/image52.jpg,"Sat September 23, 2023"
Spain wins first game since World Cup glory as opponent Sweden joins protest before match,"https://media.cnn.com/api/v1/images/stellar/prod/230923050516-02-spain-sweden-womens-euro-092223.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image53.jpg,"Sat September 23, 2023"
Hear what Trump reportedly said about injured veteran after this hug,"https://media.cnn.com/api/v1/images/stellar/prod/230922090632-trump-luis-avila-hug.jpg?c=16x9&q=w_850,c_fill",./images/image54.jpg,"(None,)"
"Clinging to hope in Derna, as grief turns to anger","https://media.cnn.com/api/v1/images/stellar/prod/230923054448-01-derna-libya-floods-092223.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image55.jpg,"Sat September 23, 2023"
"12,000 athletes and a lotus-shaped mega stadium. The Asian Games comes to China","https://media.cnn.com/api/v1/images/stellar/prod/230923024107-01-hangzhou-stadium-091923.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image56.jpg,"Sat September 23, 2023"
"As DeSantis falters, the race for second place in the GOP primary is open again","https://media.cnn.com/api/v1/images/stellar/prod/230922191401-ron-desantis-06262023.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image57.jpg,"Sat September 23, 2023"
She lost her eye protesting in Iran. She says she has no regrets,"https://media.cnn.com/api/v1/images/stellar/prod/230914130952-03-elahe-tavakolian.jpg?c=16x9&q=w_850,c_fill",./images/image58.jpg,"(None,)"
Azerbaijan has reclaimed Nagorno-Karabakh. What does that mean for the tens of thousands living there?,"https://media.cnn.com/api/v1/images/stellar/prod/230921101407-04-nagorno-karabakh-russia-ceasefire.jpg?c=16x9&q=w_850,c_fill",./images/image59.jpg,"Sat September 23, 2023"
Russell Brand makes first public comments since sexual assault allegations,"https://media.cnn.com/api/v1/images/stellar/prod/230917122144-02-russell-brand-0916.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image60.jpg,"Sat September 23, 2023"
